Series,Part No.,Max Speed (MHz),Memory (Bytes),,I/O,Timer,,,,,,,Connectivity,,,,,,,,,,,,,,,,,,,EXMC,EXMC/SDRAM,Analog Interface,,Package,Core
,,,Flash,SRAM,,GPTM (32bit),GPTM (16bit),Adv TM (16bit),Bsc TM (16bit),SysTick (24bit),WDG,RTC,USART+UART,I2C,SPI,CAN 2.0B,USB 2.0,I2S,SDIO,Ether-net,TMU,SHR TM,COMP,OP-AMP,CEC,LCD-TFT,LCD,Camera,ETHMAC,Crypto/Hash,IPA,,,12bit ADC Units (CHs),12bit DAC Units,,
,GD32VF103CBT6,108,128K,32K,up to 37,,4,1,2,1,2,1,3+0,2,3,2,OTG,2,,,,,,,,,,,,,,,,2(10),2,LQFP48,RISC-V
,GD32VF103R4T6,108,16K,6K,up to 51,,2,1,2,1,2,1,2+0,1,1,2,OTG,,,,,,,,,,,,,,,,,2(16),2,LQFP64,RISC-V
,GD32VF103R6T6,108,32K,10K,up to 51,,2,1,2,1,2,1,2+0,1,1,2,OTG,,,,,,,,,,,,,,,,,2(16),2,LQFP64,RISC-V
,GD32VF103R8T6,108,64K,20K,up to 51,,4,1,2,1,2,1,3+2,2,3,2,OTG,2,,,,,,,,,,,,,,,,2(16),2,LQFP64,RISC-V
,GD32VF103RBT6,108,128K,32K,up to 51,,4,1,2,1,2,1,3+2,2,3,2,OTG,2,,,,,,,,,,,,,,,,2(16),2,LQFP64,RISC-V
,GD32VF103V8T6,108,64K,20K,up to 80,,4,1,2,1,2,1,3+2,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(16),2,LQFP100,RISC-V
,GD32VF103VBT6,108,128K,32K,up to 80,,4,1,2,1,2,1,3+2,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(16),2,LQFP100,RISC-V
GD32E230,GD32E230F4P6,72,16K,4K,up to 15,,4,1,1,1,2,1,1,1,1,,,1,,,,,1,,,,,,,,,,,1(9),,TSSOP20,Cortex-M23
,GD32E230F6P6,72,32K,6K,up to 15,,4,1,1,1,2,1,2,1,1,,,1,,,,,1,,,,,,,,,,,1(9),,TSSOP20,Cortex-M23
,GD32E230F8P6,72,64K,8K,up to 15,,4,1,1,1,2,1,2,2,2,,,1,,,,,1,,,,,,,,,,,1(9),,TSSOP20,Cortex-M23
,GD32E230F4V6,72,16K,4K,up to 15,,4,1,1,1,2,1,1,1,1,,,1,,,,,1,,,,,,,,,,,1(9),,LGA20,Cortex-M23
,GD32E230F6V6,72,32K,6K,up to 15,,4,1,1,1,2,1,2,1,1,,,1,,,,,1,,,,,,,,,,,1(9),,LGA20,Cortex-M23
,GD32E230F8V6,72,64K,8K,up to 15,,4,1,1,1,2,1,2,2,2,,,1,,,,,1,,,,,,,,,,,1(9),,LGA20,Cortex-M23
,GD32E230G4U6,72,16K,4K,up to 23,,4,1,1,1,2,1,1,1,1,,,1,,,,,1,,,,,,,,,,,1(10),,QFN28,Cortex-M23
,GD32E230G6U6,72,32K,6K,up to 23,,4,1,1,1,2,1,2,1,1,,,1,,,,,1,,,,,,,,,,,1(10),,QFN28,Cortex-M23
,GD32E230G8U6,72,64K,8K,up to 23,,5,1,1,1,2,1,2,2,2,,,1,,,,,1,,,,,,,,,,,1(10),,QFN28,Cortex-M23
,GD32E230K4U6,72,16K,4K,up to 27,,4,1,1,1,2,1,1,1,1,,,1,,,,,1,,,,,,,,,,,1(10),,QFN32,Cortex-M23
,GD32E230K6U6,72,32K,6K,up to 27,,4,1,1,1,2,1,2,1,1,,,1,,,,,1,,,,,,,,,,,1(10),,QFN32,Cortex-M23
,GD32E230K8U6,72,64K,8K,up to 27,,5,1,1,1,2,1,2,2,2,,,1,,,,,1,,,,,,,,,,,1(10),,QFN32,Cortex-M23
,GD32E230K4T6,72,16K,4K,up to 25,,4,1,1,1,2,1,1,1,1,,,1,,,,,1,,,,,,,,,,,1(10),,LQFP32,Cortex-M23
